epoch,train_loss,val_loss,dice,iou,accuracy,precision,recall,f1,specificity,lr
1,0.525950202676985,0.48292986676096916,0.3414961136877537,0.21797481179237366,0.6279516443610191,0.25449221953749657,0.6786064431071281,0.3414957616478205,0.6150455623865128,5.600571418734211e-05
2,0.4594882133934233,0.3925681672990322,0.5652100779116154,0.42237310484051704,0.8473358079791069,0.4927378296852112,0.7922306284308434,0.5652096718549728,0.8644939735531807,0.00012400363941020203
3,0.38333798978063793,0.3049321733415127,0.6863034591078758,0.5504384636878967,0.9094637855887413,0.6741595640778542,0.790630891919136,0.68630301207304,0.9404485002160072,0.00020779622591038786
4,0.3141194782323308,0.26207579858601093,0.7187344208359718,0.5928881242871284,0.9170567095279694,0.6740248799324036,0.8506346493959427,0.7187339812517166,0.9337180331349373,0.0002751007173095001
5,0.2550736387570699,0.2293031383305788,0.7427921146154404,0.6230743899941444,0.928460992872715,0.739005483686924,0.8251094296574593,0.7427916824817657,0.9512402787804604,0.00029999981966652363
6,0.21181711571084127,0.21272794902324677,0.753656841814518,0.6356727257370949,0.9312194585800171,0.7695972248911858,0.8028604239225388,0.7536564245820045,0.9602122455835342,0.00029961857620826315
7,0.20779484493864908,0.19929007068276405,0.7697292268276215,0.659070685505867,0.9364509284496307,0.7618200331926346,0.8458052203059196,0.7697287797927856,0.9555721879005432,0.0002985091368712448
8,0.19441647455096245,0.1978754773736,0.7691549211740494,0.6587114036083221,0.9367721378803253,0.7746672332286835,0.8238781318068504,0.7691544815897942,0.9605679661035538,0.000296676906732398
9,0.17177434398068323,0.1882874183356762,0.7851029485464096,0.6765479221940041,0.9422443881630898,0.7894341498613358,0.8336914107203484,0.785102479159832,0.9638905823230743,0.00029413081223278415
10,0.16803718639744653,0.18776968773454428,0.7829431146383286,0.6713965535163879,0.9394138902425766,0.7993617206811905,0.8264822885394096,0.782942645251751,0.9607829749584198,0.0002908832576888728
11,0.15612679579191738,0.18595765717327595,0.7808635756373405,0.6683605685830116,0.9387341141700745,0.7851297110319138,0.8293706253170967,0.7808631286025047,0.9571923166513443,0.00028695006485995883
12,0.1515454148252805,0.19389192201197147,0.7774324491620064,0.6657473221421242,0.9332725405693054,0.7322482615709305,0.8854587376117706,0.77743199467659,0.9402457177639008,0.00028235039586614163
13,0.14520788043737412,0.17817435320466757,0.7921968251466751,0.6778257414698601,0.9429591223597527,0.781718485057354,0.8545054271817207,0.7921963706612587,0.9601552784442902,0.0002771066598324019
14,0.13402012230621443,0.18620872404426336,0.7871110141277313,0.6780783981084824,0.9414477422833443,0.7888859435915947,0.8415607810020447,0.7871105745434761,0.9619350805878639,0.00027124440371359746
15,0.13891845833924082,0.1897225696593523,0.7776575684547424,0.6682124882936478,0.9388410672545433,0.7871493920683861,0.8311559185385704,0.7776571065187454,0.959006205201149,0.0002647921878322673
16,0.13251583998401958,0.1904032537713647,0.7926694750785828,0.6872405707836151,0.9443798512220383,0.8544847518205643,0.7935443595051765,0.7926690131425858,0.9745435267686844,0.00025778144673561075
17,0.13090502768754958,0.18428368028253317,0.7847057208418846,0.6775232926011086,0.9412313774228096,0.7969140559434891,0.8410413414239883,0.7847052663564682,0.9613099247217178,0.00025024633604953355
18,0.1259754435883628,0.18000255711376667,0.795405738055706,0.6897146701812744,0.9457769468426704,0.8336671739816666,0.8157996609807014,0.795405276119709,0.9683506116271019,0.0002422235660758715
19,0.1267829664879375,0.17695605289191008,0.7946688458323479,0.6882133856415749,0.9445620402693748,0.8219672441482544,0.822988748550415,0.7946683764457703,0.9690033793449402,0.0002337522229434903
20,0.11888742380672031,0.19430624693632126,0.7811466306447983,0.6764434576034546,0.9413760155439377,0.7984931841492653,0.8273638486862183,0.7811461687088013,0.9635048285126686,0.0002248735781845945
21,0.11760521137879955,0.2076728716492653,0.7834851294755936,0.6813777089118958,0.9425321817398071,0.8379832804203033,0.8062636405229568,0.783484697341919,0.9730287343263626,0.00021563088766397116
22,0.11217365260753366,0.19838442374020815,0.7817957848310471,0.6767774969339371,0.9416641071438789,0.8282037153840065,0.8101549223065376,0.7817953675985336,0.9706919118762016,0.00020606918084076472
23,0.10928821712732315,0.20695209875702858,0.7767499685287476,0.6733220890164375,0.9408430308103561,0.8239324018359184,0.8089861422777176,0.7767495289444923,0.970304362475872,0.00019623504138947852
24,0.10603364441129896,0.19419573061168194,0.7749129086732864,0.6694749891757965,0.9387101531028748,0.7792869806289673,0.8415630087256432,0.7749124690890312,0.9593418911099434,0.00018617638024899492
25,0.10908862807684475,0.20954877883195877,0.7714444994926453,0.6692038029432297,0.9382182061672211,0.8182136118412018,0.8108203113079071,0.7714440524578094,0.9642487168312073,0.00017594220220529732
26,0.10511166436804666,0.21086782403290272,0.7787398174405098,0.6745507642626762,0.9398940876126289,0.8125734403729439,0.8264982476830482,0.7787393927574158,0.9669725820422173,0.0001655823671450786
27,0.1036521481970946,0.19533670041710138,0.7766930013895035,0.6705696061253548,0.9382453709840775,0.7993756681680679,0.8253321349620819,0.7766925543546677,0.9632174149155617,0.0001551473471433852
28,0.10310999084677962,0.2004675166681409,0.7829612717032433,0.6781418398022652,0.9409737810492516,0.8204423636198044,0.8215099573135376,0.782960832118988,0.9666525721549988,0.0001446879805687408
29,0.09689133125874731,0.19451424293220043,0.7869905382394791,0.6815338581800461,0.9413941875100136,0.8165891319513321,0.8274719789624214,0.7869900688529015,0.9664898812770844,0.0001342552244037252
30,0.09798848343392214,0.19357696548104286,0.7838621661067009,0.6785995364189148,0.9401569813489914,0.8052635118365288,0.8374492898583412,0.7838617116212845,0.9606363549828529,0.0001238999059876774
31,0.09506971633268727,0.19711096305400133,0.7835566774010658,0.6821082681417465,0.9410365298390388,0.8324004039168358,0.8147268518805504,0.7835562378168106,0.9682329148054123,0.0001136724753910074
32,0.09653794123894638,0.19166262168437243,0.789967492222786,0.6889575570821762,0.9416869878768921,0.8260303363204002,0.8289944678544998,0.7899670377373695,0.9661946445703506,0.00010362275962752446
33,0.09332364603049226,0.2041701041162014,0.7828061729669571,0.6797143742442131,0.9394715800881386,0.8239830210804939,0.8226005434989929,0.7828057110309601,0.9642590582370758,9.379971990223438e-05
34,0.09849615498549408,0.20823784731328487,0.7751230895519257,0.6725786477327347,0.9382075220346451,0.8236783295869827,0.8108170703053474,0.7751226425170898,0.9656517803668976,8.42512130772703e-05
